lumens,part number,mcd,viewing angle
7.64819,SLD430WBD2PT3-ND,1850,140
7.63603,C535A-WJN-CU0W0231-ND,2850,110
7.07337,C535A-WJN-CT0W0231-ND,2640,110
7.07337,C535A-WJN-CT0W0151-ND,2640,110
6.33958,C513A-WSS-CY0Z0341-ND,8930,55
6.33958,C513A-WSS-CY0Z0231-ND,8930,55
6.33958,C513A-WSN-CY0Z0341-ND,8930,55
6.33958,C513A-WSN-CY0Z0232TB-ND,8930,55
6.33958,C513A-WSN-CY0Z0232CT-ND,8930,55
6.33958,C513A-WSN-CY0Z0231-ND,8930,55
5.74325,C513A-WSS-CX0Z0232TB-ND,8090,55
5.74325,C513A-WSS-CX0Z0232CT-ND,8090,55
5.74325,C513A-WSS-CX0Z0231-ND,8090,55
5.74325,C513A-WSN-CX0Z0232TB-ND,8090,55
5.74325,C513A-WSN-CX0Z0232CT-ND,8090,55
5.74325,C513A-WSN-CX0Z0231-ND,8090,55
5.52078,CP41B-WGS-CM0P0244-ND,3000,90
5.52078,CP41B-WGS-CM0P0234-ND,3000,90
5.52078,CP41B-WGS-CK0P0154-ND,3000,90
5.32440,C513A-WSS-CW0Z0152TB-ND,7500,55
5.32440,C513A-WSS-CW0Z0152CT-ND,7500,55
5.32440,C513A-WSN-CW0Z0152TB-ND,7500,55
5.32440,C513A-WSN-CW0Z0152CT-ND,7500,55
5.32440,C513A-WSN-CW0Z0151-ND,7500,55
5.32088,C503B-GCS-CB0C0781-ND,24850,30
5.32088,C503B-GCN-CB0C0891-ND,24850,30
5.19205,492-1165-ND,1000,160
5.05086,1516-1365-ND,6000,60
4.92476,1830-1011-ND,23000,30
4.92476,1516-QBL8IG30C-ND,23000,30
4.37741,CP41B-WES-CM0P0244-ND,5200,60
4.37741,CP41B-WES-CL0P0134-ND,5200,60
4.37741,CP41B-WES-CK0P0154-ND,5200,60
4.20905,VAOL-5LWY4-ND,5000,60
4.20905,1516-1350-ND,5000,60
4.14964,C503B-GCS-CY0C0792TB-ND,19380,30
4.14964,C503B-GCS-CY0C0792CT-ND,19380,30
4.14964,C503B-GCS-CY0C0791-ND,19380,30
4.14964,C503B-GCN-CY0C0792TB-ND,19380,30
4.14964,C503B-GCN-CY0C0792CT-ND,19380,30
4.14964,C503B-GCN-CY0C0791-ND,19380,30
4.03990,VAOL-5701WY4-ND,1800,100
4.01746,365-1174-ND,8400,45
3.97386,1080-1001-ND,6750,50
3.85416,1830-1004-ND,18000,30
3.85416,1516-1342-ND,18000,30
3.84398,754-1612-ND,14000,34
3.84123,1497-1015-ND,13990,34
3.80063,C503B-GCS-CA0B0782TB-ND,17750,30
3.80063,C503B-GCS-CA0B0782CT-ND,17750,30
3.80063,C503B-GCN-CA0B0892TB-ND,17750,30
3.80063,C503B-GCN-CA0B0892CT-ND,17750,30
3.80063,C503B-GCN-CA0B0782TB-ND,17750,30
3.80063,C503B-GCN-CA0B0782CT-ND,17750,30
3.80063,C503B-GCN-CA0B0781-ND,17750,30
3.53298,516-HLMP-CM3B-Z10DDTB-ND,16500,30
3.53298,516-HLMP-CM3B-Z10DDCT-ND,16500,30
3.53298,516-2802-3-ND,16500,30
3.53298,516-2802-1-ND,16500,30
3.42592,365-1181-ND,16000,30
3.41963,751-1502-ND,7150,45
3.26496,754-2141-ND,900,130
3.25369,516-3529-3-ND,60500,15
